province_en,0-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100
Amnat Charoen,19,148,115,101,107,106,65,39,7,1
Ang Thong,20,139,169,155,175,143,123,70,20,1
Bangkok,57,1309,2010,1340,1090,885,501,259,80,5
Bueng Kan,26,185,149,139,125,147,118,54,17,0
Buri Ram,89,831,663,595,687,614,502,279,69,3
Chachoengsao,62,531,777,667,581,426,256,157,30,2
Chai Nat,16,200,204,210,220,212,198,121,18,0
Chaiyaphum,52,462,392,360,372,409,315,170,37,2
Chanthaburi,48,459,514,420,452,400,308,172,50,7
Chiang Mai,80,954,1469,985,789,865,619,298,113,5
Chiang Rai,78,877,948,727,736,758,524,282,84,5
Chon Buri,90,1314,2236,1713,1301,884,507,223,59,4
Chumphon,59,367,338,371,357,320,218,137,50,5
Kalasin,47,415,342,342,410,384,256,140,31,1
Kamphaeng Phet,40,377,376,364,421,425,299,167,32,1
Kanchanaburi,73,496,540,440,446,427,325,181,54,2
Khon Kaen,85,1023,990,832,888,816,622,325,62,5
Krabi,68,340,274,314,266,202,137,89,29,2
Lampang,16,387,501,321,424,501,356,187,47,2
Lamphun,11,217,377,299,271,280,190,95,28,1
Loei,57,372,368,292,333,291,212,133,32,3
Lop Buri,61,521,596,484,513,496,310,183,40,4
Mae Hong Son,10,75,73,70,65,60,28,20,5,0
Maha Sarakham,45,427,393,362,444,365,295,188,34,2
Mukdahan,22,165,193,153,180,135,104,71,10,1
Nakhon Nayok,19,184,204,183,165,210,116,81,22,0
Nakhon Pathom,64,757,863,593,616,505,344,188,52,2
Nakhon Phanom,27,340,291,239,262,253,148,73,22,1
Nakhon Ratchasima,196,1835,1854,1589,1561,1322,910,508,125,6
Nakhon Sawan,81,637,591,611,708,748,529,278,73,8
Nakhon Si Thammarat,124,745,658,683,719,673,524,352,126,8
Nan,14,183,186,155,186,202,159,82,15,0
Narathiwat,109,291,299,231,192,187,162,133,50,2
Nong Bua Lam Phu,28,224,173,144,162,143,92,59,20,1
Nong Khai,25,261,212,152,218,190,125,68,14,1
Nonthaburi,21,424,638,438,334,243,136,77,27,2
Pathum Thani,48,514,804,510,484,335,185,77,16,2
Pattani,76,234,188,130,121,143,121,91,36,2
Phang-nga,24,112,128,148,127,127,101,55,26,1
Phatthalung,42,190,242,258,266,276,219,149,42,4
Phayao,17,228,237,200,260,253,177,72,26,3
Phetchabun,70,642,607,495,577,601,421,227,62,2
Phetchaburi,39,326,370,312,316,287,207,100,31,3
Phichit,37,259,229,212,269,331,291,153,45,2
Phitsanulok,76,617,637,548,605,660,475,254,62,3
Phra Nakhon Si Ayutthaya,66,558,782,612,480,424,240,132,38,2
Phrae,14,201,218,199,221,262,190,106,17,0
Phuket,38,275,382,340,236,181,108,64,12,1
Prachin Buri,40,443,577,451,412,331,186,78,31,0
Prachuap Khiri Khan,76,376,469,492,452,383,256,154,36,1
Ranong,17,87,57,58,57,77,43,25,13,2
Ratchaburi,71,505,569,498,521,490,330,187,54,3
Rayong,87,754,1327,985,791,554,323,164,37,1
Roi Et,76,621,538,458,577,458,429,237,55,0
Sa kaeo,72,412,338,331,358,378,233,133,20,2
Sakon Nakhon,78,682,590,514,528,463,337,160,34,1
Samut Prakarn,36,538,882,558,409,305,162,52,19,2
Samut Sakhon,20,309,446,327,255,176,117,58,7,1
Samut Songkhram,4,77,91,64,75,70,40,33,10,0
Saraburi,53,489,613,539,549,493,282,140,21,2
Satun,29,136,110,67,80,77,80,64,25,0
Si Sa Ket,62,510,466,422,471,503,382,184,34,6
Sing Buri,15,91,127,104,143,149,92,65,12,0
Songkhla,133,630,809,778,717,671,441,299,104,4
Sukhothai,33,247,223,226,287,329,206,97,24,1
Suphan Buri,60,564,622,498,564,597,428,286,65,3
Surat Thani,128,710,682,642,677,537,377,233,64,3
Surin,79,709,607,545,581,554,494,241,61,3
Tak,53,288,298,251,239,222,143,58,18,1
Trang,62,350,318,340,392,407,266,191,56,3
Trat,13,144,125,150,145,119,96,66,16,3
Ubon Ratchathani,157,1342,1053,906,1037,930,721,386,90,5
Udon Thani,98,737,636,579,648,534,401,207,46,2
Uthai Thani,22,142,129,162,191,167,136,75,16,2
Uttaradit,18,205,242,201,248,311,212,108,27,0
Yala,67,204,150,115,107,107,72,90,23,1
Yasothon,26,253,200,189,239,207,161,99,11,0
unknown,0,2,0,1,1,0,0,0,0,0
